id_nspn,date_homework,event,apq_01_good_job,apq_02_threaten_punish,apq_03_fails_note,apq_04_games,apq_05_talk_out_punish,apq_06_ask_school,apq_07_stays_out,apq_08_homework,apq_09_compliment,apq_10_praise,apq_11_out_friends,apq_12_punish_early,apq_13_spank,apq_14_slap,apq_15_hit,apq_positive,apq_inconsistent,apq_poorsup,apq_involve,apq_punish,apq_alabama_parentin_v_14
10009,25/11/2012,Home Questionnaire Pack 1,Sometimes,Never,Always,Often,Never,Always,Often,Never,Always,Never,Never,Never,Never,Never,Never,9,3,10,10,3,Complete
10009,15/12/2013,Home Questionnaire Pack 2,Always,Never,Often,Always,Sometimes,Always,Often,Never,Always,Always,Never,Almost never,Never,Never,Never,15,6,9,11,3,Complete
10009,05/07/2015,Home Questionnaire Pack 3,,,,,,,,,,,,,,,,,,,,,
10017,24/11/2012,Home Questionnaire Pack 1,Sometimes,Often,Always,Sometimes,Almost never,Sometimes,Often,Never,Almost never,Almost never,Often,Sometimes,Never,Never,Never,7,9,13,7,3,Complete
10017,24/01/2014,Home Questionnaire Pack 2,Often,Never,Sometimes,Always,Often,Often,Almost never,Never,Always,Often,Sometimes,Often,Never,Never,Never,13,9,8,10,3,Complete
10017,08/07/2015,Home Questionnaire Pack 3,,,,,,,,,,,,,,,,,,,,,
10025,27/11/2012,Home Questionnaire Pack 1,Often,Never,Sometimes,Often,Never,Always,Never,Sometimes,Always,Often,Sometimes,Sometimes,Never,Never,Never,13,5,7,12,3,Complete
10041,29/11/2012,Home Questionnaire Pack 1,Often,Almost never,Almost never,Sometimes,Almost never,Always,Almost never,Sometimes,Often,Sometimes,Sometimes,Never,Never,Never,Never,11,5,7,11,3,Complete
10041,09/12/2013,Home Questionnaire Pack 2,Often,Never,Sometimes,Often,Never,Always,Sometimes,Often,Always,Often,Almost never,Almost never,Never,Never,Never,13,4,8,13,3,Complete
10041,24/06/2015,Home Questionnaire Pack 3,,,,,,,,,,,,,,,,,,,,,
10059,29/11/2012,Home Questionnaire Pack 1,Often,Never,Almost never,Often,Never,Often,Never,Sometimes,Always,Often,Never,Never,Never,Never,Never,13,3,4,11,3,Complete
10059,02/09/2014,Home Questionnaire Pack 2,Always,Never,Never,Sometimes,Never,Always,Never,Always,Always,Always,Never,Never,Never,Never,Never,15,3,3,13,3,Complete
10059,28/09/2015,Home Questionnaire Pack 3,,,,,,,,,,,,,,,,,,,,,
10067,02/12/2012,Home Questionnaire Pack 1,Often,Almost never,Sometimes,Almost never,Never,Often,Almost never,Never,Often,Sometimes,Sometimes,Sometimes,Never,Never,Never,11,6,8,7,3,Complete
10067,30/01/2014,Home Questionnaire Pack 2,Sometimes,Almost never,Often,Often,Almost never,Often,Sometimes,Never,Sometimes,Sometimes,Almost never,Sometimes,Never,Never,Never,9,7,9,9,3,Complete
10067,03/09/2015,Home Questionnaire Pack 3,,,,,,,,,,,,,,,,,,,,,
10075,01/12/2012,Home Questionnaire Pack 1,Often,Never,Never,Sometimes,Never,Always,Never,Never,Always,Often,Sometimes,Never,Never,Never,Never,13,3,5,9,3,Complete
10075,16/12/2013,Home Questionnaire Pack 2,Sometimes,Never,Never,Sometimes,Never,Always,Never,Never,Sometimes,Almost never,Almost never,Never,Never,Never,Never,8,3,4,9,3,Complete
10075,07/09/2015,Home Questionnaire Pack 3,,,,,,,,,,,,,,,,,,,,,
10083,25/11/2012,Home Questionnaire Pack 1,Sometimes,Never,Never,Almost never,Almost never,Sometimes,Never,Often,Often,Sometimes,Sometimes,Almost never,Never,Never,Never,10,5,5,9,3,Complete
10083,06/12/2013,Home Questionnaire Pack 2,Often,Never,Sometimes,Sometimes,Almost never,Always,Sometimes,Sometimes,Often,Often,Almost never,Almost never,Never,Never,Never,12,5,8,11,3,Complete
10083,15/08/2015,Home Questionnaire Pack 3,,,,,,,,,,,,,,,,,,,,,
