id_nspn,date_homework,event,ppq_01_quality_time,ppq_02_attend_school,ppq_03_affection,ppq_04_get_me,ppq_05_comforted,ppq_06_angry_listen,ppq_07_praised,ppq_08_ideas_encouraged,ppq_09_priority,ppq_10_loved,ppq_11_listened_to,ppq_12_contact,ppq_13_home_safe,ppq_14_opinions_valued,ppq_15_talked_important,ppq_16_privacy_respected,ppq_17_friends_welcomed,ppq_18_clothes,ppq_19_pocket_money,ppq_20_ask,ppq_21_achieve,ppq_22_cared_unwell,ppq_23_skills,ppq_24_advice,ppq_25_learn_school,ppq_26_progress,ppq_positive_parenti_v_16
10009,25/11/2012,Home Questionnaire Pack 1,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Complete
10009,15/12/2013,Home Questionnaire Pack 2,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Complete
10009,05/07/2015,Home Questionnaire Pack 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
10017,24/11/2012,Home Questionnaire Pack 1,Sometimes,Mostly,Mostly,Always,Mostly,Mostly,Mostly,Mostly,Sometimes,Mostly,Mostly,Sometimes,Always,Sometimes,Mostly,Mostly,Always,Always,Always,Always,Always,Always,Mostly,Mostly,Always,Always,Complete
10017,24/01/2014,Home Questionnaire Pack 2,Mostly,Always,Always,Always,Mostly,Mostly,Always,Always,Mostly,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Mostly,Always,Always,Mostly,Always,Always,Always,Complete
10017,08/07/2015,Home Questionnaire Pack 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
10025,27/11/2012,Home Questionnaire Pack 1,Mostly,Mostly,Always,Mostly,Always,Always,Always,Always,Mostly,Always,Always,Mostly,Always,Mostly,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Complete
10041,29/11/2012,Home Questionnaire Pack 1,Mostly,Always,Always,Always,Always,Mostly,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Mostly,Always,Always,Always,Always,Always,Always,Complete
10041,09/12/2013,Home Questionnaire Pack 2,Mostly,Always,Always,Always,Always,Mostly,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Mostly,Mostly,Always,Always,Always,Always,Always,Complete
10041,24/06/2015,Home Questionnaire Pack 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
